Provider,Video Url,Content,Category,Length
ZDF,https://www.zdf.de/serien/bettys-diagnose/neue-aussichten-100.html,"Neue Aussichten  Staffel 06, Folge 01 ",Drama,43:27 Minutes
ZDF,https://www.zdf.de/kinder/purplus/berliner-mauer-114.html, Mein Schicksal - Die Berliner Mauer ,Doku,24:18 Minutes
ZDF,https://www.zdf.de/show/bares-fuer-rares/bares-fuer-rares-vom-23-september-2019-100.html, Bares für Rares vom 23. September 2019 ,Reality,52:14 Minutes
ZDF,https://www.zdf.de/dokumentation/37-grad/37-mein-dickes-problem-102.html,Mein dickes Problem,Reality,28:59 Minutes
ZDF,https://www.zdf.de/dokumentation/terra-x/die-wahren-entdecker-amerikas-leif-eriksson-100.html,War ein Wikinger vor Kolumbus in Amerika?,Documentary,17:04 Minutes
ZDF,https://www.zdf.de/dokumentation/terra-x/eine-zeitreise-zu-den-wikingern-102.html,Eine Zeitreise zu den Wikingern,Documentary,5:59 Minutes
ZDF,https://www.zdf.de/dokumentation/terra-x/videos/horizons-mit-alexander-gerst-ins-all-100.html,Horizons - Die neue Mission von Alexander Gerst,Documentary,5:33 Minutes
Facebook,https://www.facebook.com/thedodosite/videos/vb.334191996715482/522770001841837,"This barber can work miracles! 💈🔥This bear has never known life outside a cage — watch his first time playing in snow!
",FB-Viral,5:44Minutes
Facebook,https://www.facebook.com/jakepaul/videos/vb.1431889900379952/464484530820010,WORLDS BIGGEST GAME OF DOMINOES!,FB-Viral,8:38 Minutes
Facebook,https://www.facebook.com/buzzfeednifty/videos/vl.373410073020006/951886088483919,These ombre polymer clay DIYs are so mesmerizing to watch and so pretty to have in your home. ✨,FB-Viral,5:14 Minutes
Facebook,https://www.facebook.com/yummyfoodandfashion/videos/1164692203740417/,Full recipes here: http://tiphero.com/6-scrumptious-apple-recipes/,FB-Viral,5:31 Minutes
Facebook,https://www.facebook.com/brightside/videos/vb.727974550664624/2395914427343582,"4 EASY NO BAKE PUDDING DESSERT
FULL RECIPE : https://youtu.be/9NYhn4wXsFw
YOUTUBE : http://bit.do/ewqhX
",FB-Viral,14:36 Minutes
Facebook,https://www.facebook.com/buzzfeedpropertasty/videos/vb.1737181656494507/2591797921054659,Travel back to summer with this holiday dish! ☀️,FB-Viral,8:18 Minutes
Facebook,https://www.facebook.com/ajplusenglish/videos/vl.2220635918175536/349189142610834,Some American truckers wear turbans and make chai in their trucks. Shreen Khan rides along with a Punjabi Sikh trucker who crossed the U.S.-Mexico border to realize his American dream.,FB-Viral,8:45 Minutes
Facebook,https://www.facebook.com/NowThisNews/videos/990068998003343/,"Conoce a Liza Goldberg, la joven de 17 años trabajando con NASA para entender los efectos del cambio climático (via NowThis Español)",FB-Viral,7:24 Minutes
Facebook,https://www.facebook.com/LADbible/videos/2446766362205912/,"“If you want a criminal, I’ll give you a f***ing criminal.”",FB-Viral,10:51 Minutes
Facebook,https://www.facebook.com/TELEGRAPH.CO.UK/videos/vb.143666524748/488890585212018/,LIVE: Boris Johnson makes his first statement as prime minister,FB-Viral,11:57 Minutes
